### OUTPUT ###
ID#1 : time : 27462, Operation : delete, fitness : 0.64
ID#2 : time : 11, Operation : delete, fitness : -1.0
ID#3 : time : 115, Operation : replace, fitness : -1.0
ID#4 : time : 15, Operation : delete, fitness : -1.0
ID#5 : time : 1, Operation : insert_before, fitness : -1.0
ID#6 : time : 67, Operation : replace, fitness : -1.0
ID#7 : time : 283, Operation : delete, fitness : 0.88
ID#8 : time : 55, Operation : insert_before, fitness : -1.0
ID#9 : time : 59, Operation : replace, fitness : -1.0
ID#10 : time : 50, Operation : replace, fitness : -1.0
ID#11 : time : 5, Operation : delete, fitness : -1.0
ID#12 : time : 75, Operation : insert_before, fitness : -1.0
ID#13 : time : 49, Operation : insert_after, fitness : -1.0
ID#14 : time : 49, Operation : replace, fitness : -1.0
ID#15 : time : 47, Operation : insert_before, fitness : -1.0
ID#16 : time : 47, Operation : insert_before, fitness : -1.0
ID#17 : time : 219, Operation : delete, fitness : 0.92
ID#18 : time : 183, Operation : replace, fitness : 0.92
ID#19 : time : 38, Operation : replace, fitness : -1.0
ID#20 : time : 37, Operation : replace, fitness : -1.0
ID#21 : time : 4, Operation : delete, fitness : -1.0
ID#22 : time : 4, Operation : delete, fitness : -1.0
ID#23 : time : 34, Operation : insert_before, fitness : -1.0
ID#24 : time : 36, Operation : replace, fitness : -1.0
ID#25 : time : 48, Operation : insert_before, fitness : -1.0
ID#26 : time : 4, Operation : delete, fitness : -1.0
ID#27 : time : 174, Operation : replace, fitness : 0.84
ID#28 : time : 6, Operation : delete, fitness : -1.0
ID#29 : time : 40, Operation : replace, fitness : -1.0
ID#30 : time : 40, Operation : replace, fitness : -1.0
ID#31 : time : 50, Operation : replace, fitness : -1.0
ID#32 : time : 6, Operation : delete, fitness : -1.0
ID#33 : time : 239, Operation : delete, fitness : 0.8
ID#34 : time : 38, Operation : insert_after, fitness : -1.0
ID#35 : time : 47, Operation : insert_before, fitness : -1.0
ID#36 : time : 205, Operation : delete, fitness : 0.92
ID#37 : time : 49, Operation : insert_after, fitness : -1.0
ID#38 : time : 42, Operation : delete, fitness : -1.0
ID#39 : time : 48, Operation : replace, fitness : -1.0
ID#40 : time : 40, Operation : replace, fitness : -1.0
ID#41 : time : 5, Operation : delete, fitness : -1.0
ID#42 : time : 37, Operation : insert_after, fitness : -1.0
ID#43 : time : 4, Operation : delete, fitness : -1.0
ID#44 : time : 33, Operation : replace, fitness : -1.0
ID#45 : time : 33, Operation : insert_before, fitness : -1.0
ID#46 : time : 33, Operation : insert_after, fitness : -1.0
ID#47 : time : 35, Operation : delete, fitness : -1.0
ID#48 : time : 33, Operation : insert_after, fitness : -1.0
ID#49 : time : 21192, Operation : delete, fitness : 0.68
ID#50 : time : 0, Operation : insert_after, fitness : -1.0
ID#51 : time : 38, Operation : replace, fitness : -1.0
ID#52 : time : 41, Operation : replace, fitness : -1.0
ID#53 : time : 172, Operation : replace, fitness : 0.88
ID#54 : time : 36, Operation : insert_before, fitness : -1.0
ID#55 : time : 161, Operation : insert_after, fitness : 0.92
ID#56 : time : 34, Operation : replace, fitness : -1.0
ID#57 : time : 4, Operation : delete, fitness : -1.0
ID#58 : time : 3, Operation : delete, fitness : -1.0
ID#59 : time : 3, Operation : delete, fitness : -1.0
ID#60 : time : 168, Operation : delete, fitness : 0.88
ID#61 : time : 47, Operation : replace, fitness : -1.0
ID#62 : time : 34, Operation : insert_before, fitness : -1.0
ID#63 : time : 4, Operation : delete, fitness : -1.0
ID#64 : time : 198, Operation : delete, fitness : 0.92
ID#65 : time : 36, Operation : delete, fitness : -1.0
ID#66 : time : 0, Operation : insert_before, fitness : -1.0
ID#67 : time : 0, Operation : insert_after, fitness : -1.0
ID#68 : time : 30, Operation : replace, fitness : -1.0
ID#69 : time : 34, Operation : insert_after, fitness : -1.0
ID#70 : time : 99, Operation : delete, fitness : 0.76
ID#71 : time : 258, Operation : insert_before, fitness : -1.0
ID#72 : time : 5, Operation : delete, fitness : -1.0
ID#73 : time : 229, Operation : insert_after, fitness : -1.0
ID#74 : time : 387, Operation : delete, fitness : 0.88
ID#75 : time : 15312, Operation : delete, fitness : 0.76
ID#76 : time : 228, Operation : insert_before, fitness : -1.0
ID#77 : time : 187, Operation : insert_before, fitness : -1.0
ID#78 : time : 218, Operation : replace, fitness : -1.0
ID#79 : time : 32, Operation : replace, fitness : -1.0
ID#80 : time : 166, Operation : insert_before, fitness : -1.0
ID#81 : time : 199, Operation : replace, fitness : -1.0
ID#82 : time : 32, Operation : insert_after, fitness : -1.0
ID#83 : time : 217, Operation : delete, fitness : -1.0
ID#84 : time : 246, Operation : replace, fitness : -1.0
ID#85 : time : 224, Operation : insert_before, fitness : -1.0
ID#86 : time : 223, Operation : insert_before, fitness : -1.0
ID#87 : time : 259, Operation : insert_before, fitness : -1.0
ID#88 : time : 200, Operation : replace, fitness : -1.0
ID#89 : time : 248, Operation : insert_before, fitness : -1.0
ID#90 : time : 391, Operation : replace, fitness : 0.88
ID#91 : time : 233, Operation : replace, fitness : -1.0
ID#92 : time : 85, Operation : delete, fitness : -1.0
ID#93 : time : 3, Operation : delete, fitness : -1.0
ID#94 : time : 258, Operation : delete, fitness : -1.0
ID#95 : time : 169, Operation : delete, fitness : -1.0
ID#96 : time : 349, Operation : delete, fitness : 0.92
ID#97 : time : 262, Operation : replace, fitness : -1.0
ID#98 : time : 202, Operation : replace, fitness : -1.0
ID#99 : time : 378, Operation : replace, fitness : 0.88
ID#100 : time : 188, Operation : insert_before, fitness : -1.0
ID#101 : time : 384, Operation : delete, fitness : 0.88
ID#102 : time : 346, Operation : delete, fitness : 0.76
ID#103 : time : 201, Operation : delete, fitness : -1.0
ID#104 : time : 201, Operation : replace, fitness : -1.0
ID#105 : time : 18332, Operation : delete, fitness : 0.64
ID#106 : time : 226, Operation : insert_before, fitness : -1.0
ID#107 : time : 18309, Operation : delete, fitness : 0.64
ID#108 : time : 212, Operation : delete, fitness : -1.0
ID#109 : time : 400, Operation : insert_before, fitness : 0.92
ID#110 : time : 89, Operation : replace, fitness : -1.0
ID#111 : time : 347, Operation : delete, fitness : 0.92
ID#112 : time : 259, Operation : insert_after, fitness : -1.0
ID#113 : time : 241, Operation : delete, fitness : -1.0
ID#114 : time : 380, Operation : delete, fitness : 0.8
ID#115 : time : 165, Operation : insert_after, fitness : -1.0
ID#116 : time : 370, Operation : delete, fitness : 0.92
ID#117 : time : 213, Operation : delete, fitness : -1.0
ID#118 : time : 255, Operation : replace, fitness : -1.0
ID#119 : time : 364, Operation : delete, fitness : 0.88
ID#120 : time : 223, Operation : insert_after, fitness : -1.0
ID#121 : time : 404, Operation : delete, fitness : 0.88
ID#122 : time : 299, Operation : replace, fitness : -1.0
ID#123 : time : 193, Operation : delete, fitness : -1.0
ID#124 : time : 260, Operation : insert_after, fitness : -1.0
ID#125 : time : 36, Operation : replace, fitness : -1.0
ID#126 : time : 3, Operation : delete, fitness : -1.0
ID#127 : time : 399, Operation : insert_before, fitness : 0.92
ID#128 : time : 255, Operation : replace, fitness : -1.0
ID#129 : time : 261, Operation : insert_after, fitness : -1.0
ID#130 : time : 168, Operation : delete, fitness : -1.0
ID#131 : time : 214, Operation : delete, fitness : -1.0
ID#132 : time : 212, Operation : delete, fitness : -1.0
ID#133 : time : 0, Operation : insert_before, fitness : -1.0
ID#134 : time : 257, Operation : delete, fitness : -1.0
ID#135 : time : 405, Operation : delete, fitness : 0.92
ID#136 : time : 168, Operation : delete, fitness : -1.0
ID#137 : time : 197, Operation : replace, fitness : -1.0
ID#138 : time : 344, Operation : delete, fitness : 0.88
ID#139 : time : 221, Operation : insert_after, fitness : -1.0
ID#140 : time : 201, Operation : replace, fitness : -1.0
ID#141 : time : 460, Operation : delete, fitness : -1.0
ID#142 : time : 447, Operation : replace, fitness : -1.0
ID#143 : time : 364, Operation : insert_after, fitness : -1.0
ID#144 : time : 442, Operation : insert_before, fitness : -1.0
ID#145 : time : 35, Operation : delete, fitness : -1.0
ID#146 : time : 411, Operation : replace, fitness : -1.0
ID#147 : time : 7, Operation : delete, fitness : -1.0
ID#148 : time : 359, Operation : delete, fitness : -1.0
ID#149 : time : 437, Operation : insert_after, fitness : -1.0
ID#150 : time : 440, Operation : insert_before, fitness : -1.0
ID#151 : time : 385, Operation : insert_before, fitness : -1.0
ID#152 : time : 35, Operation : replace, fitness : -1.0
ID#153 : time : 10, Operation : delete, fitness : -1.0
ID#154 : time : 590, Operation : delete, fitness : 0.92
ID#155 : time : 453, Operation : insert_after, fitness : -1.0
ID#156 : time : 444, Operation : replace, fitness : -1.0
ID#157 : time : 216, Operation : delete, fitness : 0.92
ID#158 : time : 21112, Operation : delete, fitness : 0.64
ID#159 : time : 182, Operation : delete, fitness : 0.8
ID#160 : time : 439, Operation : insert_after, fitness : -1.0
ID#161 : time : 446, Operation : insert_after, fitness : -1.0
ID#162 : time : 6, Operation : delete, fitness : -1.0
ID#163 : time : 34, Operation : insert_before, fitness : -1.0
ID#164 : time : 393, Operation : delete, fitness : -1.0
ID#165 : time : 411, Operation : delete, fitness : -1.0
ID#166 : time : 410, Operation : delete, fitness : -1.0
ID#167 : time : 37, Operation : insert_after, fitness : -1.0
ID#168 : time : 357, Operation : insert_before, fitness : -1.0
ID#169 : time : 356, Operation : insert_before, fitness : -1.0
ID#170 : time : 438, Operation : delete, fitness : -1.0
ID#171 : time : 389, Operation : delete, fitness : -1.0
ID#172 : time : 44, Operation : replace, fitness : -1.0
ID#173 : time : 443, Operation : insert_after, fitness : -1.0
ID#174 : time : 441, Operation : replace, fitness : -1.0
ID#175 : time : 36, Operation : replace, fitness : -1.0
ID#176 : time : 446, Operation : insert_after, fitness : -1.0
ID#177 : time : 393, Operation : insert_after, fitness : -1.0
ID#178 : time : 31, Operation : insert_before, fitness : -1.0
ID#179 : time : 35, Operation : replace, fitness : -1.0
ID#180 : time : 18474, Operation : delete, fitness : 0.64
ID#181 : time : 357, Operation : insert_after, fitness : -1.0
ID#182 : time : 36, Operation : insert_after, fitness : -1.0
ID#183 : time : 55, Operation : insert_before, fitness : -1.0
ID#184 : time : 385, Operation : insert_after, fitness : -1.0
ID#185 : time : 414, Operation : delete, fitness : -1.0
ID#186 : time : 174, Operation : delete, fitness : 0.92
ID#187 : time : 3, Operation : insert_before, fitness : -1.0
ID#188 : time : 4, Operation : insert_before, fitness : -1.0
ID#189 : time : 437, Operation : replace, fitness : -1.0
ID#190 : time : 442, Operation : replace, fitness : -1.0
ID#191 : time : 15479, Operation : delete, fitness : 0.76
ID#192 : time : 454, Operation : replace, fitness : -1.0
ID#193 : time : 408, Operation : insert_after, fitness : -1.0
ID#194 : time : 413, Operation : insert_after, fitness : -1.0
ID#195 : time : 451, Operation : delete, fitness : -1.0
ID#196 : time : 389, Operation : replace, fitness : -1.0
ID#197 : time : 34, Operation : replace, fitness : -1.0
ID#198 : time : 44, Operation : replace, fitness : -1.0
ID#199 : time : 47, Operation : delete, fitness : -1.0
ID#200 : time : 441, Operation : insert_after, fitness : -1.0
ID#201 : time : 447, Operation : replace, fitness : -1.0
ID#202 : time : 4, Operation : insert_after, fitness : -1.0
ID#203 : time : 202, Operation : replace, fitness : 0.88
ID#204 : time : 445, Operation : replace, fitness : -1.0
ID#205 : time : 534, Operation : delete, fitness : 0.92
ID#206 : time : 443, Operation : delete, fitness : -1.0
ID#207 : time : 36, Operation : replace, fitness : -1.0
ID#208 : time : 8, Operation : delete, fitness : -1.0
ID#209 : time : 34, Operation : delete, fitness : -1.0
ID#210 : time : 194, Operation : replace, fitness : 0.92
ID#211 : time : 762, Operation : random-crossover, fitness : 0.92
ID#212 : time : 812, Operation : random-crossover, fitness : -1.0
ID#213 : time : 755, Operation : random-crossover, fitness : -1.0
ID#214 : time : 762, Operation : random-crossover, fitness : -1.0
ID#215 : time : 813, Operation : random-crossover, fitness : -1.0
ID#216 : time : 761, Operation : random-crossover, fitness : 0.92
ID#217 : time : 762, Operation : random-crossover, fitness : 0.92
ID#218 : time : 759, Operation : random-crossover, fitness : 0.92
ID#219 : time : 759, Operation : random-crossover, fitness : -1.0
ID#220 : time : 814, Operation : random-crossover, fitness : -1.0
ID#221 : time : 810, Operation : random-crossover, fitness : -1.0
ID#222 : time : 758, Operation : random-crossover, fitness : -1.0
ID#223 : time : 815, Operation : random-crossover, fitness : 0.92
ID#224 : time : 759, Operation : random-crossover, fitness : -1.0
ID#225 : time : 814, Operation : random-crossover, fitness : -1.0
ID#226 : time : 763, Operation : random-crossover, fitness : -1.0
ID#227 : time : 813, Operation : random-crossover, fitness : -1.0
ID#228 : time : 763, Operation : random-crossover, fitness : -1.0
ID#229 : time : 758, Operation : random-crossover, fitness : -1.0
ID#230 : time : 817, Operation : random-crossover, fitness : -1.0
ID#231 : time : 765, Operation : random-crossover, fitness : -1.0
ID#232 : time : 761, Operation : random-crossover, fitness : -1.0
ID#233 : time : 758, Operation : random-crossover, fitness : -1.0
ID#234 : time : 763, Operation : random-crossover, fitness : -1.0
ID#235 : time : 759, Operation : random-crossover, fitness : -1.0
ID#236 : time : 762, Operation : random-crossover, fitness : -1.0
ID#237 : time : 765, Operation : random-crossover, fitness : -1.0
ID#238 : time : 813, Operation : random-crossover, fitness : -1.0
ID#239 : time : 813, Operation : random-crossover, fitness : -1.0
ID#240 : time : 813, Operation : random-crossover, fitness : -1.0
ID#241 : time : 219, Operation : delete, fitness : 0.88
ID#242 : time : 808, Operation : replace, fitness : -1.0
ID#243 : time : 773, Operation : delete, fitness : -1.0
ID#244 : time : 406, Operation : delete, fitness : 0.8
ID#245 : time : 21942, Operation : delete, fitness : 0.64
ID#246 : time : 969, Operation : replace, fitness : 0.92
ID#247 : time : 768, Operation : insert_before, fitness : -1.0
ID#248 : time : 802, Operation : insert_after, fitness : -1.0
ID#249 : time : 203, Operation : insert_before, fitness : -1.0
ID#250 : time : 808, Operation : insert_before, fitness : -1.0
ID#251 : time : 238, Operation : insert_after, fitness : -1.0
ID#252 : time : 811, Operation : replace, fitness : -1.0
ID#253 : time : 12, Operation : delete, fitness : -1.0
ID#254 : time : 15341, Operation : delete, fitness : 0.76
ID#255 : time : 768, Operation : insert_after, fitness : -1.0
ID#256 : time : 240, Operation : delete, fitness : -1.0
ID#257 : time : 803, Operation : insert_after, fitness : -1.0
ID#258 : time : 47, Operation : insert_after, fitness : -1.0
ID#259 : time : 4, Operation : insert_after, fitness : -1.0
ID#260 : time : 801, Operation : insert_before, fitness : -1.0
ID#261 : time : 263, Operation : insert_after, fitness : -1.0
ID#262 : time : 771, Operation : delete, fitness : -1.0
ID#263 : time : 34, Operation : replace, fitness : -1.0
ID#264 : time : 49, Operation : replace, fitness : -1.0
ID#265 : time : 59, Operation : replace, fitness : -1.0
ID#266 : time : 54, Operation : replace, fitness : -1.0
ID#267 : time : 804, Operation : delete, fitness : -1.0
ID#268 : time : 769, Operation : insert_after, fitness : -1.0
ID#269 : time : 11, Operation : delete, fitness : -1.0
ID#270 : time : 50, Operation : replace, fitness : -1.0
ID#271 : time : 806, Operation : insert_before, fitness : -1.0
ID#272 : time : 239, Operation : delete, fitness : -1.0
ID#273 : time : 10, Operation : insert_after, fitness : -1.0
ID#274 : time : 21347, Operation : delete, fitness : 0.64
ID#275 : time : 812, Operation : delete, fitness : -1.0
ID#276 : time : 9, Operation : delete, fitness : -1.0
ID#277 : time : 41, Operation : insert_before, fitness : -1.0
ID#278 : time : 244, Operation : replace, fitness : -1.0
ID#279 : time : 773, Operation : replace, fitness : -1.0
ID#280 : time : 8, Operation : insert_before, fitness : -1.0
ID#281 : time : 803, Operation : replace, fitness : -1.0
ID#282 : time : 807, Operation : delete, fitness : -1.0
