### OUTPUT ###
ID#1 : time : 488, Operation : delete, fitness : -1.0
ID#2 : time : 231, Operation : delete, fitness : -1.0
ID#3 : time : 216, Operation : replace, fitness : -1.0
ID#4 : time : 33, Operation : delete, fitness : -1.0
ID#5 : time : 6, Operation : insert_after, fitness : -1.0
ID#6 : time : 4, Operation : insert_before, fitness : -1.0
ID#7 : time : 140, Operation : insert_after, fitness : -1.0
ID#8 : time : 105, Operation : delete, fitness : -1.0
ID#9 : time : 110, Operation : delete, fitness : -1.0
ID#10 : time : 101, Operation : delete, fitness : -1.0
ID#11 : time : 108, Operation : insert_before, fitness : -1.0
ID#12 : time : 751, Operation : delete, fitness : 0.939393939394
ID#13 : time : 112, Operation : insert_after, fitness : -1.0
ID#14 : time : 121, Operation : insert_after, fitness : -1.0
ID#15 : time : 2, Operation : insert_after, fitness : -1.0
ID#16 : time : 551, Operation : delete, fitness : 0.984848484848
ID#17 : time : 86, Operation : replace, fitness : -1.0
ID#18 : time : 15, Operation : delete, fitness : -1.0
ID#19 : time : 80, Operation : replace, fitness : -1.0
ID#20 : time : 66, Operation : replace, fitness : -1.0
ID#21 : time : 84, Operation : replace, fitness : -1.0
ID#22 : time : 437, Operation : delete, fitness : 0.969696969697
ID#23 : time : 79, Operation : replace, fitness : -1.0
ID#24 : time : 0, Operation : insert_after, fitness : -1.0
ID#25 : time : 405, Operation : delete, fitness : 0.969696969697
ID#26 : time : 143, Operation : insert_after, fitness : -1.0
ID#27 : time : 1, Operation : insert_after, fitness : -1.0
ID#28 : time : 101, Operation : insert_after, fitness : -1.0
ID#29 : time : 107, Operation : delete, fitness : -1.0
ID#30 : time : 74, Operation : replace, fitness : -1.0
ID#31 : time : 80, Operation : replace, fitness : -1.0
ID#32 : time : 69, Operation : replace, fitness : -1.0
ID#33 : time : 82, Operation : insert_before, fitness : -1.0
ID#34 : time : 0, Operation : insert_after, fitness : -1.0
ID#35 : time : 13, Operation : delete, fitness : -1.0
ID#36 : time : 14, Operation : delete, fitness : -1.0
ID#37 : time : 15, Operation : delete, fitness : -1.0
ID#38 : time : 14, Operation : delete, fitness : -1.0
ID#39 : time : 73, Operation : replace, fitness : -1.0
ID#40 : time : 68, Operation : replace, fitness : -1.0
ID#41 : time : 0, Operation : insert_before, fitness : -1.0
ID#42 : time : 0, Operation : insert_before, fitness : -1.0
ID#43 : time : 0, Operation : insert_before, fitness : -1.0
ID#44 : time : 53, Operation : delete, fitness : -1.0
ID#45 : time : 60, Operation : insert_after, fitness : -1.0
ID#46 : time : 14, Operation : delete, fitness : -1.0
ID#47 : time : 0, Operation : insert_after, fitness : -1.0
ID#48 : time : 0, Operation : insert_after, fitness : -1.0
ID#49 : time : 63, Operation : insert_before, fitness : -1.0
ID#50 : time : 73, Operation : replace, fitness : -1.0
ID#51 : time : 57, Operation : replace, fitness : -1.0
ID#52 : time : 55, Operation : insert_before, fitness : -1.0
ID#53 : time : 61, Operation : replace, fitness : -1.0
ID#54 : time : 67, Operation : replace, fitness : -1.0
ID#55 : time : 64, Operation : insert_before, fitness : -1.0
ID#56 : time : 57, Operation : replace, fitness : -1.0
ID#57 : time : 10, Operation : delete, fitness : -1.0
ID#58 : time : 54, Operation : insert_before, fitness : -1.0
ID#59 : time : 0, Operation : insert_after, fitness : -1.0
ID#60 : time : 53, Operation : insert_before, fitness : -1.0
ID#61 : time : 312, Operation : replace, fitness : 0.984848484848
ID#62 : time : 42, Operation : delete, fitness : -1.0
ID#63 : time : 67, Operation : insert_before, fitness : -1.0
ID#64 : time : 72, Operation : insert_before, fitness : -1.0
ID#65 : time : 14, Operation : delete, fitness : -1.0
ID#66 : time : 13, Operation : delete, fitness : -1.0
ID#67 : time : 57, Operation : replace, fitness : -1.0
ID#68 : time : 0, Operation : insert_before, fitness : -1.0
ID#69 : time : 14, Operation : delete, fitness : -1.0
ID#70 : time : 81, Operation : replace, fitness : -1.0
ID#71 : time : 476, Operation : insert_before, fitness : -1.0
ID#72 : time : 689, Operation : insert_after, fitness : -1.0
ID#73 : time : 540, Operation : delete, fitness : -1.0
ID#74 : time : 582, Operation : replace, fitness : -1.0
ID#75 : time : 512, Operation : replace, fitness : -1.0
ID#76 : time : 500, Operation : delete, fitness : -1.0
ID#77 : time : 498, Operation : replace, fitness : -1.0
ID#78 : time : 616, Operation : insert_before, fitness : -1.0
ID#79 : time : 743, Operation : replace, fitness : 0.969696969697
ID#80 : time : 379, Operation : delete, fitness : -1.0
ID#81 : time : 709, Operation : replace, fitness : 0.969696969697
ID#82 : time : 402, Operation : replace, fitness : -1.0
ID#83 : time : 340, Operation : delete, fitness : -1.0
ID#84 : time : 419, Operation : insert_before, fitness : -1.0
ID#85 : time : 398, Operation : insert_after, fitness : -1.0
ID#86 : time : 416, Operation : replace, fitness : -1.0
ID#87 : time : 483, Operation : delete, fitness : -1.0
ID#88 : time : 488, Operation : replace, fitness : -1.0
ID#89 : time : 339, Operation : delete, fitness : -1.0
ID#90 : time : 455, Operation : insert_after, fitness : -1.0
ID#91 : time : 451, Operation : insert_before, fitness : -1.0
ID#92 : time : 627, Operation : replace, fitness : -1.0
ID#93 : time : 631, Operation : replace, fitness : -1.0
ID#94 : time : 742, Operation : replace, fitness : -1.0
ID#95 : time : 70, Operation : replace, fitness : -1.0
ID#96 : time : 343, Operation : delete, fitness : -1.0
ID#97 : time : 492, Operation : delete, fitness : -1.0
ID#98 : time : 493, Operation : replace, fitness : -1.0
ID#99 : time : 639, Operation : replace, fitness : -1.0
ID#100 : time : 565, Operation : insert_before, fitness : -1.0
ID#101 : time : 14, Operation : delete, fitness : -1.0
ID#102 : time : 638, Operation : insert_after, fitness : -1.0
ID#103 : time : 627, Operation : insert_after, fitness : -1.0
ID#104 : time : 433, Operation : delete, fitness : -1.0
ID#105 : time : 632, Operation : replace, fitness : -1.0
ID#106 : time : 516, Operation : replace, fitness : -1.0
ID#107 : time : 339, Operation : delete, fitness : -1.0
ID#108 : time : 489, Operation : delete, fitness : -1.0
ID#109 : time : 487, Operation : replace, fitness : -1.0
ID#110 : time : 462, Operation : replace, fitness : 0.939393939394
ID#111 : time : 471, Operation : insert_after, fitness : -1.0
ID#112 : time : 547, Operation : insert_before, fitness : -1.0
ID#113 : time : 514, Operation : insert_before, fitness : -1.0
ID#114 : time : 12, Operation : delete, fitness : -1.0
ID#115 : time : 343, Operation : delete, fitness : 0.969696969697
ID#116 : time : 13, Operation : delete, fitness : -1.0
ID#117 : time : 375, Operation : insert_after, fitness : -1.0
ID#118 : time : 489, Operation : delete, fitness : -1.0
ID#119 : time : 45, Operation : insert_after, fitness : -1.0
ID#120 : time : 738, Operation : delete, fitness : 0.969696969697
ID#121 : time : 367, Operation : insert_before, fitness : -1.0
ID#122 : time : 0, Operation : insert_before, fitness : -1.0
ID#123 : time : 43, Operation : insert_before, fitness : -1.0
ID#124 : time : 366, Operation : insert_after, fitness : -1.0
ID#125 : time : 45, Operation : replace, fitness : -1.0
ID#126 : time : 490, Operation : delete, fitness : -1.0
ID#127 : time : 491, Operation : replace, fitness : -1.0
ID#128 : time : 51, Operation : insert_before, fitness : -1.0
ID#129 : time : 470, Operation : replace, fitness : -1.0
ID#130 : time : 459, Operation : delete, fitness : -1.0
ID#131 : time : 807, Operation : delete, fitness : 0.969696969697
ID#132 : time : 44, Operation : replace, fitness : -1.0
ID#133 : time : 366, Operation : insert_before, fitness : -1.0
ID#134 : time : 456, Operation : replace, fitness : -1.0
ID#135 : time : 331, Operation : delete, fitness : -1.0
ID#136 : time : 603, Operation : delete, fitness : -1.0
ID#137 : time : 44, Operation : insert_before, fitness : -1.0
ID#138 : time : 837, Operation : replace, fitness : 0.969696969697
ID#139 : time : 464, Operation : replace, fitness : -1.0
ID#140 : time : 605, Operation : replace, fitness : -1.0
ID#141 : time : 0, Operation : insert_before, fitness : -1.0
ID#142 : time : 57, Operation : insert_after, fitness : -1.0
ID#143 : time : 53, Operation : replace, fitness : -1.0
ID#144 : time : 48, Operation : replace, fitness : -1.0
ID#145 : time : 19, Operation : delete, fitness : -1.0
ID#146 : time : 930, Operation : insert_after, fitness : -1.0
ID#147 : time : 10, Operation : insert_before, fitness : -1.0
ID#148 : time : 57, Operation : insert_before, fitness : -1.0
ID#149 : time : 934, Operation : replace, fitness : -1.0
ID#150 : time : 868, Operation : replace, fitness : -1.0
ID#151 : time : 904, Operation : replace, fitness : -1.0
ID#152 : time : 44, Operation : replace, fitness : -1.0
ID#153 : time : 868, Operation : replace, fitness : -1.0
ID#154 : time : 855, Operation : insert_after, fitness : -1.0
