### OUTPUT ###
ID#1 : time : 442, Operation : delete, fitness : -1.0
ID#2 : time : 218, Operation : delete, fitness : -1.0
ID#3 : time : 209, Operation : replace, fitness : -1.0
ID#4 : time : 27, Operation : delete, fitness : -1.0
ID#5 : time : 2, Operation : insert_after, fitness : -1.0
ID#6 : time : 1, Operation : insert_after, fitness : -1.0
ID#7 : time : 1, Operation : insert_before, fitness : -1.0
ID#8 : time : 732, Operation : delete, fitness : 0.984848484848
ID#9 : time : 110, Operation : delete, fitness : -1.0
ID#10 : time : 113, Operation : delete, fitness : -1.0
ID#11 : time : 135, Operation : insert_before, fitness : -1.0
ID#12 : time : 1449, Operation : delete, fitness : 0.939393939394
ID#13 : time : 872, Operation : insert_after, fitness : -1.0
ID#14 : time : 129, Operation : insert_after, fitness : -1.0
ID#15 : time : 753, Operation : insert_after, fitness : -1.0
ID#16 : time : 21, Operation : insert_after, fitness : -1.0
ID#17 : time : 112, Operation : replace, fitness : -1.0
ID#18 : time : 1596, Operation : insert_before, fitness : -1.0
ID#19 : time : 126, Operation : replace, fitness : -1.0
ID#20 : time : 1593, Operation : insert_after, fitness : -1.0
ID#21 : time : 117, Operation : delete, fitness : -1.0
ID#22 : time : 547, Operation : replace, fitness : 0.969696969697
ID#23 : time : 14, Operation : delete, fitness : -1.0
ID#24 : time : 81, Operation : insert_before, fitness : -1.0
ID#25 : time : 1, Operation : insert_after, fitness : -1.0
ID#26 : time : 48, Operation : delete, fitness : -1.0
ID#27 : time : 754, Operation : replace, fitness : -1.0
ID#28 : time : 39, Operation : insert_after, fitness : -1.0
ID#29 : time : 136, Operation : replace, fitness : -1.0
ID#30 : time : 121, Operation : replace, fitness : -1.0
ID#31 : time : 523, Operation : delete, fitness : 0.969696969697
ID#32 : time : 701, Operation : delete, fitness : 0.969696969697
ID#33 : time : 1, Operation : insert_before, fitness : -1.0
ID#34 : time : 15, Operation : insert_after, fitness : -1.0
ID#35 : time : 14, Operation : insert_before, fitness : -1.0
ID#36 : time : 15, Operation : delete, fitness : -1.0
ID#37 : time : 96, Operation : delete, fitness : -1.0
ID#38 : time : 80, Operation : insert_before, fitness : -1.0
ID#39 : time : 90, Operation : insert_before, fitness : -1.0
ID#40 : time : 657, Operation : delete, fitness : -1.0
ID#41 : time : 1262, Operation : random-crossover, fitness : -1.0
ID#42 : time : 1250, Operation : random-crossover, fitness : -1.0
ID#43 : time : 93, Operation : insert_before, fitness : -1.0
ID#44 : time : 19, Operation : insert_before, fitness : -1.0
ID#45 : time : 113, Operation : insert_after, fitness : -1.0
ID#46 : time : 89, Operation : replace, fitness : -1.0
ID#47 : time : 384, Operation : delete, fitness : 0.969696969697
ID#48 : time : 36, Operation : random-crossover, fitness : -1.0
ID#49 : time : 46, Operation : random-crossover, fitness : -1.0
ID#50 : time : 20, Operation : insert_after, fitness : -1.0
ID#51 : time : 118, Operation : insert_after, fitness : -1.0
ID#52 : time : 94, Operation : insert_before, fitness : -1.0
ID#53 : time : 117, Operation : replace, fitness : -1.0
ID#54 : time : 120, Operation : insert_before, fitness : -1.0
ID#55 : time : 419, Operation : random-crossover, fitness : 0.969696969697
ID#56 : time : 413, Operation : random-crossover, fitness : -1.0
ID#57 : time : 98, Operation : replace, fitness : -1.0
ID#58 : time : 522, Operation : insert_after, fitness : 0.969696969697
ID#59 : time : 444, Operation : delete, fitness : 0.969696969697
ID#60 : time : 43, Operation : delete, fitness : -1.0
ID#61 : time : 31, Operation : insert_before, fitness : -1.0
ID#62 : time : 432, Operation : random-crossover, fitness : -1.0
ID#63 : time : 446, Operation : random-crossover, fitness : -1.0
