### OUTPUT ###
ID#1 : time : 429, Operation : delete, fitness : -1.0
ID#2 : time : 192, Operation : delete, fitness : -1.0
ID#3 : time : 201, Operation : replace, fitness : -1.0
ID#4 : time : 23, Operation : delete, fitness : -1.0
ID#5 : time : 3, Operation : insert_after, fitness : -1.0
ID#6 : time : 1, Operation : insert_after, fitness : -1.0
ID#7 : time : 1, Operation : insert_before, fitness : -1.0
ID#8 : time : 729, Operation : delete, fitness : 0.984848484848
ID#9 : time : 115, Operation : delete, fitness : -1.0
ID#10 : time : 140, Operation : delete, fitness : -1.0
ID#11 : time : 128, Operation : insert_before, fitness : -1.0
ID#12 : time : 1579, Operation : delete, fitness : 0.939393939394
ID#13 : time : 867, Operation : insert_after, fitness : -1.0
ID#14 : time : 101, Operation : insert_after, fitness : -1.0
ID#15 : time : 750, Operation : insert_after, fitness : -1.0
ID#16 : time : 25, Operation : insert_after, fitness : -1.0
ID#17 : time : 98, Operation : replace, fitness : -1.0
ID#18 : time : 1719, Operation : insert_before, fitness : -1.0
ID#19 : time : 131, Operation : replace, fitness : -1.0
ID#20 : time : 1725, Operation : insert_after, fitness : -1.0
ID#21 : time : 113, Operation : delete, fitness : -1.0
ID#22 : time : 684, Operation : replace, fitness : 0.969696969697
ID#23 : time : 16, Operation : delete, fitness : -1.0
ID#24 : time : 82, Operation : insert_before, fitness : -1.0
ID#25 : time : 0, Operation : insert_after, fitness : -1.0
ID#26 : time : 52, Operation : delete, fitness : -1.0
ID#27 : time : 861, Operation : replace, fitness : -1.0
ID#28 : time : 37, Operation : insert_after, fitness : -1.0
ID#29 : time : 120, Operation : replace, fitness : -1.0
ID#30 : time : 117, Operation : replace, fitness : -1.0
ID#31 : time : 1047, Operation : delete, fitness : 0.969696969697
ID#32 : time : 901, Operation : delete, fitness : 0.969696969697
ID#33 : time : 1, Operation : insert_before, fitness : -1.0
ID#34 : time : 24, Operation : insert_after, fitness : -1.0
ID#35 : time : 19, Operation : insert_before, fitness : -1.0
ID#36 : time : 16, Operation : delete, fitness : -1.0
ID#37 : time : 116, Operation : delete, fitness : -1.0
ID#38 : time : 100, Operation : insert_before, fitness : -1.0
ID#39 : time : 105, Operation : insert_before, fitness : -1.0
ID#40 : time : 1192, Operation : delete, fitness : -1.0
ID#41 : time : 1983, Operation : random-crossover, fitness : -1.0
ID#42 : time : 1966, Operation : random-crossover, fitness : -1.0
ID#43 : time : 108, Operation : insert_before, fitness : -1.0
ID#44 : time : 34, Operation : insert_before, fitness : -1.0
ID#45 : time : 161, Operation : insert_after, fitness : -1.0
ID#46 : time : 112, Operation : replace, fitness : -1.0
ID#47 : time : 565, Operation : delete, fitness : 0.969696969697
ID#48 : time : 34, Operation : random-crossover, fitness : -1.0
ID#49 : time : 34, Operation : random-crossover, fitness : -1.0
ID#50 : time : 21, Operation : insert_after, fitness : -1.0
ID#51 : time : 113, Operation : insert_after, fitness : -1.0
ID#52 : time : 125, Operation : insert_before, fitness : -1.0
ID#53 : time : 167, Operation : replace, fitness : -1.0
ID#54 : time : 138, Operation : insert_before, fitness : -1.0
ID#55 : time : 599, Operation : random-crossover, fitness : 0.969696969697
ID#56 : time : 599, Operation : random-crossover, fitness : -1.0
ID#57 : time : 101, Operation : replace, fitness : -1.0
ID#58 : time : 709, Operation : insert_after, fitness : 0.969696969697
ID#59 : time : 621, Operation : delete, fitness : 0.969696969697
ID#60 : time : 52, Operation : delete, fitness : -1.0
ID#61 : time : 33, Operation : insert_before, fitness : -1.0
ID#62 : time : 614, Operation : random-crossover, fitness : -1.0
ID#63 : time : 628, Operation : random-crossover, fitness : -1.0
ID#64 : time : 112, Operation : insert_before, fitness : -1.0
ID#65 : time : 116, Operation : delete, fitness : -1.0
ID#66 : time : 16, Operation : delete, fitness : -1.0
ID#67 : time : 0, Operation : insert_before, fitness : -1.0
ID#68 : time : 14, Operation : delete, fitness : -1.0
ID#69 : time : 655, Operation : random-crossover, fitness : -1.0
ID#70 : time : 666, Operation : random-crossover, fitness : 0.969696969697
ID#71 : time : 93, Operation : insert_after, fitness : -1.0
ID#72 : time : 213, Operation : delete, fitness : -1.0
ID#73 : time : 115, Operation : replace, fitness : -1.0
ID#74 : time : 101, Operation : replace, fitness : -1.0
ID#75 : time : 93, Operation : delete, fitness : -1.0
ID#76 : time : 14, Operation : random-crossover, fitness : -1.0
ID#77 : time : 45, Operation : random-crossover, fitness : -1.0
ID#78 : time : 120, Operation : insert_after, fitness : -1.0
ID#79 : time : 84, Operation : replace, fitness : -1.0
ID#80 : time : 85, Operation : delete, fitness : -1.0
ID#81 : time : 423, Operation : delete, fitness : 0.924242424242
ID#82 : time : 40, Operation : insert_before, fitness : -1.0
ID#83 : time : 14, Operation : random-crossover, fitness : -1.0
ID#84 : time : 25, Operation : random-crossover, fitness : 0.969696969697
ID#85 : time : 112, Operation : replace, fitness : -1.0
ID#86 : time : 91, Operation : replace, fitness : -1.0
ID#87 : time : 131, Operation : insert_before, fitness : -1.0
ID#88 : time : 26, Operation : insert_before, fitness : -1.0
ID#89 : time : 214, Operation : replace, fitness : -1.0
ID#90 : time : 39, Operation : random-crossover, fitness : 0.969696969697
ID#91 : time : 74, Operation : random-crossover, fitness : -1.0
ID#92 : time : 500, Operation : replace, fitness : 0.924242424242
ID#93 : time : 524, Operation : delete, fitness : 0.924242424242
ID#94 : time : 107, Operation : replace, fitness : -1.0
ID#95 : time : 14, Operation : delete, fitness : -1.0
ID#96 : time : 96, Operation : insert_before, fitness : -1.0
ID#97 : time : 41, Operation : random-crossover, fitness : -1.0
ID#98 : time : 29, Operation : random-crossover, fitness : -1.0
ID#99 : time : 100, Operation : insert_before, fitness : -1.0
ID#100 : time : 64, Operation : replace, fitness : -1.0
ID#101 : time : 357, Operation : delete, fitness : 0.984848484848
ID#102 : time : 94, Operation : replace, fitness : -1.0
ID#103 : time : 112, Operation : replace, fitness : -1.0
ID#104 : time : 29, Operation : random-crossover, fitness : -1.0
ID#105 : time : 26, Operation : random-crossover, fitness : -1.0
ID#106 : time : 77, Operation : replace, fitness : -1.0
ID#107 : time : 864, Operation : insert_after, fitness : 0.984848484848
ID#108 : time : 104, Operation : replace, fitness : -1.0
ID#109 : time : 110, Operation : insert_after, fitness : -1.0
ID#110 : time : 100, Operation : delete, fitness : -1.0
ID#111 : time : 26, Operation : random-crossover, fitness : -1.0
ID#112 : time : 26, Operation : random-crossover, fitness : -1.0
ID#113 : time : 85, Operation : replace, fitness : -1.0
ID#114 : time : 75, Operation : delete, fitness : -1.0
ID#115 : time : 1048, Operation : delete, fitness : -1.0
ID#116 : time : 114, Operation : insert_after, fitness : -1.0
ID#117 : time : 82, Operation : replace, fitness : -1.0
ID#118 : time : 890, Operation : random-crossover, fitness : -1.0
ID#119 : time : 905, Operation : random-crossover, fitness : 0.969696969697
ID#120 : time : 53, Operation : delete, fitness : -1.0
ID#121 : time : 154, Operation : insert_before, fitness : -1.0
ID#122 : time : 32, Operation : insert_before, fitness : -1.0
ID#123 : time : 94, Operation : insert_before, fitness : -1.0
ID#124 : time : 0, Operation : insert_after, fitness : -1.0
ID#125 : time : 39, Operation : random-crossover, fitness : 0.969696969697
ID#126 : time : 26, Operation : random-crossover, fitness : 0.969696969697
ID#127 : time : 73, Operation : insert_before, fitness : -1.0
ID#128 : time : 429, Operation : delete, fitness : 0.969696969697
ID#129 : time : 79, Operation : replace, fitness : -1.0
ID#130 : time : 364, Operation : replace, fitness : 0.969696969697
ID#131 : time : 33, Operation : insert_before, fitness : -1.0
ID#132 : time : 67, Operation : random-crossover, fitness : -1.0
ID#133 : time : 67, Operation : random-crossover, fitness : 0.969696969697
ID#134 : time : 93, Operation : replace, fitness : -1.0
ID#135 : time : 100, Operation : insert_before, fitness : -1.0
ID#136 : time : 523, Operation : delete, fitness : 0.969696969697
ID#137 : time : 87, Operation : replace, fitness : -1.0
ID#138 : time : 137, Operation : delete, fitness : -1.0
ID#139 : time : 44, Operation : random-crossover, fitness : -1.0
ID#140 : time : 42, Operation : random-crossover, fitness : -1.0
ID#141 : time : 95, Operation : delete, fitness : -1.0
ID#142 : time : 95, Operation : delete, fitness : -1.0
ID#143 : time : 61, Operation : replace, fitness : -1.0
ID#144 : time : 13, Operation : insert_before, fitness : -1.0
ID#145 : time : 714, Operation : replace, fitness : -1.0
ID#146 : time : 549, Operation : random-crossover, fitness : 0.969696969697
ID#147 : time : 537, Operation : random-crossover, fitness : -1.0
ID#148 : time : 87, Operation : insert_before, fitness : -1.0
ID#149 : time : 44, Operation : delete, fitness : -1.0
ID#150 : time : 0, Operation : insert_before, fitness : -1.0
ID#151 : time : 43, Operation : insert_after, fitness : -1.0
ID#152 : time : 89, Operation : replace, fitness : -1.0
ID#153 : time : 32, Operation : random-crossover, fitness : -1.0
ID#154 : time : 27, Operation : random-crossover, fitness : -1.0
ID#155 : time : 106, Operation : replace, fitness : -1.0
ID#156 : time : 57, Operation : delete, fitness : -1.0
ID#157 : time : 57, Operation : delete, fitness : -1.0
ID#158 : time : 399, Operation : delete, fitness : 0.924242424242
ID#159 : time : 93, Operation : insert_after, fitness : -1.0
ID#160 : time : 44, Operation : random-crossover, fitness : -1.0
ID#161 : time : 14, Operation : random-crossover, fitness : -1.0
ID#162 : time : 489, Operation : delete, fitness : 0.984848484848
ID#163 : time : 42, Operation : delete, fitness : -1.0
ID#164 : time : 399, Operation : delete, fitness : 0.984848484848
ID#165 : time : 0, Operation : insert_after, fitness : -1.0
ID#166 : time : 78, Operation : insert_before, fitness : -1.0
ID#167 : time : 27, Operation : random-crossover, fitness : 0.969696969697
ID#168 : time : 28, Operation : random-crossover, fitness : -1.0
ID#169 : time : 95, Operation : replace, fitness : -1.0
ID#170 : time : 98, Operation : replace, fitness : -1.0
ID#171 : time : 990, Operation : delete, fitness : 0.969696969697
